c,gamma,accuracy
0.9,1.8000000000000003,1.0
0.9,1.9000000000000001,1.0
0.9,2.0,1.0
1.0,0.1,0.7787878787878788
1.0,0.2,0.9629629629629629
1.0,0.30000000000000004,0.9629629629629629
1.0,0.4,1.0
1.0,0.5,1.0
1.0,0.6,1.0
1.0,0.7000000000000001,1.0
1.0,0.8,1.0
1.0,0.9,1.0
1.0,1.0,1.0
1.0,1.1,1.0
1.0,1.2000000000000002,1.0
1.0,1.3000000000000003,1.0
1.0,1.4000000000000001,1.0
1.0,1.5000000000000002,1.0
1.0,1.6,1.0
1.0,1.7000000000000002,1.0
1.0,1.8000000000000003,1.0
1.0,1.9000000000000001,1.0
1.0,2.0,1.0
1.1,0.1,0.9333333333333332
1.1,0.2,0.9629629629629629
1.1,0.30000000000000004,0.9629629629629629
1.1,0.4,1.0
1.1,0.5,1.0
1.1,0.6,1.0
1.1,0.7000000000000001,1.0
1.1,0.8,1.0
1.1,0.9,1.0
1.1,1.0,1.0
1.1,1.1,1.0
1.1,1.2000000000000002,1.0
1.1,1.3000000000000003,1.0
1.1,1.4000000000000001,1.0
1.1,1.5000000000000002,1.0
1.1,1.6,1.0
1.1,1.7000000000000002,1.0
1.1,1.8000000000000003,1.0
1.1,1.9000000000000001,1.0
1.1,2.0,1.0
1.2000000000000002,0.1,1.0
1.2000000000000002,0.2,0.9629629629629629
1.2000000000000002,0.30000000000000004,1.0
1.2000000000000002,0.4,1.0
1.2000000000000002,0.5,1.0
1.2000000000000002,0.6,1.0
1.2000000000000002,0.7000000000000001,1.0
1.2000000000000002,0.8,1.0
1.2000000000000002,0.9,1.0
1.2000000000000002,1.0,1.0
1.2000000000000002,1.1,1.0
1.2000000000000002,1.2000000000000002,1.0
1.2000000000000002,1.3000000000000003,1.0
1.2000000000000002,1.4000000000000001,1.0
1.2000000000000002,1.5000000000000002,1.0
1.2000000000000002,1.6,1.0
1.2000000000000002,1.7000000000000002,1.0
1.2000000000000002,1.8000000000000003,1.0
1.2000000000000002,1.9000000000000001,1.0
1.2000000000000002,2.0,1.0
1.3000000000000003,0.1,1.0
1.3000000000000003,0.2,0.9629629629629629
1.3000000000000003,0.30000000000000004,1.0
1.3000000000000003,0.4,1.0
1.3000000000000003,0.5,1.0
1.3000000000000003,0.6,1.0
1.3000000000000003,0.7000000000000001,1.0
1.3000000000000003,0.8,1.0
1.3000000000000003,0.9,1.0
1.3000000000000003,1.0,1.0
1.3000000000000003,1.1,1.0
1.3000000000000003,1.2000000000000002,1.0
1.3000000000000003,1.3000000000000003,1.0
1.3000000000000003,1.4000000000000001,1.0
1.3000000000000003,1.5000000000000002,1.0
1.3000000000000003,1.6,1.0
1.3000000000000003,1.7000000000000002,1.0
1.3000000000000003,1.8000000000000003,1.0
1.3000000000000003,1.9000000000000001,1.0
1.3000000000000003,2.0,1.0
1.4000000000000001,0.1,1.0
1.4000000000000001,0.2,0.9629629629629629
1.4000000000000001,0.30000000000000004,1.0
1.4000000000000001,0.4,1.0
1.4000000000000001,0.5,1.0
1.4000000000000001,0.6,1.0
1.4000000000000001,0.7000000000000001,1.0
1.4000000000000001,0.8,1.0
1.4000000000000001,0.9,1.0
1.4000000000000001,1.0,1.0
1.4000000000000001,1.1,1.0
1.4000000000000001,1.2000000000000002,1.0
1.4000000000000001,1.3000000000000003,1.0
1.4000000000000001,1.4000000000000001,1.0
1.4000000000000001,1.5000000000000002,1.0
1.4000000000000001,1.6,1.0
1.4000000000000001,1.7000000000000002,1.0
1.4000000000000001,1.8000000000000003,1.0
1.4000000000000001,1.9000000000000001,1.0
1.4000000000000001,2.0,1.0
1.5000000000000002,0.1,0.9629629629629629
1.5000000000000002,0.2,0.9629629629629629
1.5000000000000002,0.30000000000000004,1.0
1.5000000000000002,0.4,1.0
1.5000000000000002,0.5,1.0
1.5000000000000002,0.6,1.0
1.5000000000000002,0.7000000000000001,1.0
1.5000000000000002,0.8,1.0
1.5000000000000002,0.9,1.0
1.5000000000000002,1.0,1.0
1.5000000000000002,1.1,1.0
1.5000000000000002,1.2000000000000002,1.0
1.5000000000000002,1.3000000000000003,1.0
1.5000000000000002,1.4000000000000001,1.0
1.5000000000000002,1.5000000000000002,1.0
1.5000000000000002,1.6,1.0
1.5000000000000002,1.7000000000000002,1.0
1.5000000000000002,1.8000000000000003,1.0
1.5000000000000002,1.9000000000000001,1.0
1.5000000000000002,2.0,1.0
1.6,0.1,0.9629629629629629
1.6,0.2,0.9629629629629629
1.6,0.30000000000000004,1.0
1.6,0.4,1.0
1.6,0.5,1.0
1.6,0.6,1.0
1.6,0.7000000000000001,1.0
1.6,0.8,1.0
1.6,0.9,1.0
1.6,1.0,1.0
1.6,1.1,1.0
1.6,1.2000000000000002,1.0
1.6,1.3000000000000003,1.0
1.6,1.4000000000000001,1.0
1.6,1.5000000000000002,1.0
1.6,1.6,1.0
1.6,1.7000000000000002,1.0
1.6,1.8000000000000003,1.0
1.6,1.9000000000000001,1.0
1.6,2.0,1.0
1.7000000000000002,0.1,0.9629629629629629
1.7000000000000002,0.2,0.9629629629629629
1.7000000000000002,0.30000000000000004,1.0
1.7000000000000002,0.4,1.0
1.7000000000000002,0.5,1.0
1.7000000000000002,0.6,1.0
1.7000000000000002,0.7000000000000001,1.0
1.7000000000000002,0.8,1.0
1.7000000000000002,0.9,1.0
1.7000000000000002,1.0,1.0
1.7000000000000002,1.1,1.0
1.7000000000000002,1.2000000000000002,1.0
